,product_name,datestr,date,year,month,week,sat_type,cloud_cover,aoi_coverage,tdi
78,20220926_074726_55_2480,2022-09-26,2022-09-26,2022,9,39,superdove,0,100.0,1.0812354138735787
79,20220927_071329_35_2453,2022-09-27,2022-09-27,2022,9,39,superdove,0,100.0,2.546054918317692
80,20220930_074839_99_2499,2022-09-30,2022-09-30,2022,9,39,superdove,0,99.95029056116942,2.8402954503134503
81,20221001_074717_15_248b,2022-10-01,2022-10-01,2022,10,39,superdove,0,100.0,2.361090421570088
82,20221003_071253_77_2453,2022-10-03,2022-10-03,2022,10,40,superdove,0,87.98348821845275,2.2107256193498492
83,20221004_074557_82_2479,2022-10-04,2022-10-04,2022,10,40,superdove,0,100.0,1.7155767416455632
84,20221006_070955_91_242b,2022-10-06,2022-10-06,2022,10,40,superdove,0,100.0,1.0762699240280054
85,20221007_073217_77_2262,2022-10-07,2022-10-07,2022,10,40,superdove,0,100.0,0.7361338696062367
86,20221009_074727_54_24a3,2022-10-09,2022-10-09,2022,10,40,superdove,0,100.0,2.1475743582104374
87,20221010_071105_15_2442,2022-10-10,2022-10-10,2022,10,41,superdove,0,100.0,1.3953026466060878
88,20221012_074617_44_2478,2022-10-12,2022-10-12,2022,10,41,superdove,0,92.89724495725864,1.5836378790793102
89,20221013_074611_70_249b,2022-10-13,2022-10-13,2022,10,41,superdove,0,100.0,1.7900590893291621
90,20221014_074742_80_2486,2022-10-14,2022-10-14,2022,10,41,superdove,0,100.0,1.1507522717116043
91,20221021_074606_82_2498,2022-10-21,2022-10-21,2022,10,42,superdove,0,94.34992174887557,2.474280505274124
92,20221028_074606_93_249d,2022-10-28,2022-10-28,2022,10,43,superdove,0,100.0,3.176672128705497
93,20221109_071119_93_242b,2022-11-09,2022-11-09,2022,11,45,superdove,0,92.58401571741864,1.9369530391494885
94,20221116_074935_50_249a,2022-11-16,2022-11-16,2022,11,46,superdove,0,100.0,4.69362927652813
95,20221117_074847_55_247e,2022-11-17,2022-11-17,2022,11,46,superdove,0,100.0,4.071701673370078
96,20221118_075424_84_2424,2022-11-18,2022-11-18,2022,11,46,superdove,0,87.67229471977984,4.374343087901754
97,20221123_071156_48_2453,2022-11-23,2022-11-23,2022,11,47,superdove,0,95.705905999379,4.190277938398674
98,20221202_070842_55_2463,2022-12-02,2022-12-02,2022,12,48,superdove,0,100.0,4.1474253935150704
99,20221205_074719_32_2470,2022-12-05,2022-12-05,2022,12,49,superdove,0,100.0,2.132677888673718
100,20221224_071450_36_245c,2022-12-24,2022-12-24,2022,12,51,superdove,0,100.0,7.346442226525647
101,20221225_080520_13_2405,2022-12-25,2022-12-25,2022,12,51,superdove,0,99.11570953659762,3.3016689343535846
102,20230103_070845_67_2459,2023-01-03,2023-01-03,2023,1,1,superdove,0,100.0,4.487561447936839
103,20230104_074742_53_247f,2023-01-04,2023-01-04,2023,1,1,superdove,0,100.0,5.141764735091116
104,20230128_070827_53_2451,2023-01-28,2023-01-28,2023,1,4,superdove,0,100.0,3.3492229008391674
105,20230206_074829_48_248c,2023-02-06,2023-02-06,2023,2,6,superdove,0,100.0,5.714037439793436
106,20230309_075020_98_2474,2023-03-09,2023-03-09,2023,3,10,superdove,0,100.0,6.326034063260341
107,20230318_080322_72_2414,2023-03-18,2023-03-18,2023,3,11,superdove,0,99.98919526919306,5.767416455633348
108,20230319_071848_67_24be,2023-03-19,2023-03-19,2023,3,11,superdove,0,100.0,6.677342469834649
109,20230320_074937_94_24a5,2023-03-20,2023-03-20,2023,3,12,superdove,0,100.0,4.3969412582551275
